gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000130203.9,APOE,32.20640182495117,NA,1.435823398855728e-227,0.0003576994996461695,NA,NA,NA,1,1.0,1,1.435823398855728e-227,0.0307268354402359
ENSG00000186567.12,CEACAM19,15.80256687055974,NA,2.9870207052484417e-56,0.051899319141180254,NA,NA,NA,2,2.0,2,5.530224635154163e-56,0.5708594540371651
ENSG00000267467.3,APOC4,14.178637504577637,NA,1.242352502761456e-45,9.114231996671834e-13,NA,NA,NA,1,1.0,1,1.242352502761456e-45,5.27467381429712e-06
ENSG00000104853.15,CLPTM1,11.309557914733887,NA,1.1768095669563782e-29,0.00010399733057188707,NA,NA,NA,1,1.0,1,1.1768095669563782e-29,0.0315185995826807
ENSG00000203710.10,CR1,8.707548141479492,NA,3.1051835245993237e-18,0.04296938366137631,NA,NA,NA,1,1.0,1,3.1051835245993237e-18,0.398896184456438
ENSG00000104892.16,KLC3,-7.899650724456274,NA,2.7968604444325662e-15,0.0926261244766719,NA,NA,NA,2,2.0,2,1.962366260925962e-15,0.3994431482375129
ENSG00000130202.9,NECTIN2,7.318522453308106,NA,2.5071607674036627e-13,8.716111764071885e-05,NA,NA,NA,1,1.0,1,2.5071607674036627e-13,0.022715303155207
ENSG00000073921.17,PICALM,7.280141830444336,NA,3.334694010614025e-13,4.603089324626578e-05,NA,NA,NA,1,1.0,1,3.334694010614025e-13,0.0109264745856944
ENSG00000170684.8,ZNF296,-6.768186569213867,NA,1.3040652896994547e-11,0.021624772486796385,NA,NA,NA,1,1.0,1,1.3040652896994547e-11,0.258392574955913
ENSG00000087589.16,CASS4,-6.379218578338623,NA,1.779938422172211e-10,0.020500871108824866,NA,NA,NA,1,1.0,1,1.779938422172211e-10,0.315392512282351
ENSG00000142252.10,GEMIN7,6.374400138854982,NA,1.8368045156227022e-10,0.06989736147790955,NA,NA,NA,1,1.0,1,1.836804515622735e-10,0.382686078551234
ENSG00000158864.12,NDUFS2,-6.2847765319264175,NA,3.283256229192405e-10,0.03286603988549784,NA,NA,NA,2,2.0,2,6.693695264720877e-08,0.289713082233521
ENSG00000073008.14,PVR,-6.042440626464765,NA,1.5180021866890942e-09,0.010642390443379808,NA,NA,NA,2,2.0,2,7.600799847524497e-10,0.20029329920655803
ENSG00000263164.1,RP11-333E1.2,5.713226318359375,NA,1.1085409246334296e-08,0.0042202685551130485,NA,NA,NA,1,1.0,1,1.1085409246334296e-08,0.12264120738544099
ENSG00000104884.14,ERCC2,5.666713237762451,NA,1.4556265024484797e-08,0.0008894139194624079,NA,NA,NA,1,1.0,1,1.4556265024484797e-08,0.0433431968150954
ENSG00000066336.11,SPI1,5.658542633056641,NA,1.5266379541423477e-08,5.886235112936427e-07,NA,NA,NA,1,1.0,1,1.5266379541423477e-08,0.0010730786639906302
